anexo_cat68;segmento;ato_base;item_norma;cest;ncm;descricao;condicao;metodo_base_calculo;iva_st_percentual;iva_st_ajustado_aplicavel;vigencia_inicio;vigencia_fim;status_em_2026_09_21;fonte_oficial;observacao
III;CERVEJA_CHOPE_REFRIGERANTE_E_OUTRAS_BEBIDAS;Portaria SRE 27/2026;REF_INTER_XAROPE;;2106.90.10;Xarope/extrato NCM 2106.90.10 para pré-mix/post-mix;"Varejista recebe diretamente de outro Estado não signatário de acordo implementado por SP; quando aplicável o IVA.";PMPF_COM_IVA_FALLBACK;100.0;False;2026-07-01;2026-12-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-27-de-2026.aspx;
III;CERVEJA_CHOPE_REFRIGERANTE_E_OUTRAS_BEBIDAS;Portaria SRE 27/2026;ENERG_GERAL;;;Bebidas energéticas e hidroeletrolíticas;"Saída de fabricante, engarrafador, importador, distribuidor, depósito, atacadista ou arrematante; quando aplicável o IVA.";PMPF_COM_IVA_FALLBACK;66.0;False;2026-07-01;2026-12-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-27-de-2026.aspx;
III;CERVEJA_CHOPE_REFRIGERANTE_E_OUTRAS_BEBIDAS;Portaria SRE 27/2026;ENERG_INTER_VIDRO_RET_MAIS_600;;;Energética/isotônica em garrafa de vidro retornável acima de 600 ml;"Varejista recebe diretamente de outro Estado não signatário de acordo implementado por SP; quando aplicável o IVA.";PMPF_COM_IVA_FALLBACK;20.0;False;2026-07-01;2026-12-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-27-de-2026.aspx;
III;CERVEJA_CHOPE_REFRIGERANTE_E_OUTRAS_BEBIDAS;Portaria SRE 27/2026;ENERG_INTER_PLAST_NRET_2_2_5L;;;Energética/isotônica em garrafa plástica não retornável com 2 L ou 2,5 L;"Varejista recebe diretamente de outro Estado não signatário de acordo implementado por SP; quando aplicável o IVA.";PMPF_COM_IVA_FALLBACK;20.0;False;2026-07-01;2026-12-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-27-de-2026.aspx;
III;CERVEJA_CHOPE_REFRIGERANTE_E_OUTRAS_BEBIDAS;Portaria SRE 27/2026;ENERG_INTER_PLAST_NRET_1L;;;Energética/isotônica em garrafa plástica não retornável com 1 L;"Varejista recebe diretamente de outro Estado não signatário de acordo implementado por SP; quando aplicável o IVA.";PMPF_COM_IVA_FALLBACK;20.0;False;2026-07-01;2026-12-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-27-de-2026.aspx;
III;CERVEJA_CHOPE_REFRIGERANTE_E_OUTRAS_BEBIDAS;Portaria SRE 27/2026;ENERG_INTER_PLAST_RET_ATE_2L;;;Energética/isotônica em garrafa plástica retornável com até 2 L;"Varejista recebe diretamente de outro Estado não signatário de acordo implementado por SP; quando aplicável o IVA.";PMPF_COM_IVA_FALLBACK;37.0;False;2026-07-01;2026-12-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-27-de-2026.aspx;
III;CERVEJA_CHOPE_REFRIGERANTE_E_OUTRAS_BEBIDAS;Portaria SRE 27/2026;ENERG_INTER_LATA_GARRAFA_NRET;;;Energética/isotônica em lata e garrafa não retornável;"Varejista recebe diretamente de outro Estado não signatário de acordo implementado por SP; quando aplicável o IVA.";PMPF_COM_IVA_FALLBACK;35.0;False;2026-07-01;2026-12-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-27-de-2026.aspx;
III;CERVEJA_CHOPE_REFRIGERANTE_E_OUTRAS_BEBIDAS;Portaria SRE 27/2026;ENERG_INTER_GARRAFA_RET_ATE_330;;;Energética/isotônica em garrafa retornável com até 330 ml;"Varejista recebe diretamente de outro Estado não signatário de acordo implementado por SP; quando aplicável o IVA.";PMPF_COM_IVA_FALLBACK;70.0;False;2026-07-01;2026-12-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-27-de-2026.aspx;
III;CERVEJA_CHOPE_REFRIGERANTE_E_OUTRAS_BEBIDAS;Portaria SRE 27/2026;CERV_GERAL;;;Cerveja, cerveja sem álcool e chope;"Saída de fabricante, engarrafador, importador, distribuidor, depósito, atacadista ou arrematante; quando aplicável o IVA.";PMPF_COM_IVA_FALLBACK;140.0;False;2026-07-01;2026-12-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-27-de-2026.aspx;
III;CERVEJA_CHOPE_REFRIGERANTE_E_OUTRAS_BEBIDAS;Portaria SRE 27/2026;CERV_INTER_VAREJISTA;;;Cerveja e cerveja sem álcool;"Varejista recebe diretamente de outro Estado não signatário de acordo implementado por SP; quando aplicável o IVA.";PMPF_COM_IVA_FALLBACK;70.0;False;2026-07-01;2026-12-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-27-de-2026.aspx;
III;CERVEJA_CHOPE_REFRIGERANTE_E_OUTRAS_BEBIDAS;Portaria SRE 27/2026;CHOPE_INTER_VAREJISTA;;;Chope;"Varejista recebe diretamente de outro Estado não signatário de acordo implementado por SP; quando aplicável o IVA.";PMPF_COM_IVA_FALLBACK;115.0;False;2026-07-01;2026-12-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-27-de-2026.aspx;
V;VEICULO_NOVO_DUAS_TRES_RODAS;RICMS/SP art. 300;FALLBACK_SEM_PRECO;;;Veículos novos de duas e três rodas motorizados;Somente na inexistência dos valores previstos nos incisos I e II do art. 300.;PRECO_SUGERIDO_COM_MVA_FALLBACK;34.0;False;2020-01-01;;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/art299.aspx;Consulta tributária oficial registra que não há previsão de MVA ajustada nessa hipótese.
VI;VEICULO_AUTOMOTOR_NOVO;RICMS/SP art. 302;FALLBACK_DEMAIS_SITUACOES;;;Demais veículos automotores novos;Nas demais situações, na falta de preço máximo/único, aplicar 30% de MVA sobre o valor da operação + encargos.;PRECO_SUGERIDO_COM_MVA_FALLBACK;30.0;False;2020-01-01;;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/art301.aspx;
VII;PNEUMATICOS_CAMARAS_PROTETORES;Portaria SRE 15/2024;1;16.001.00;4011.10.00;Pneus novos para automóveis de passageiros;;IVA_ST;46.68;True;2024-05-01;2026-09-30;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-15-de-2024.aspx;Anexo VII da CAT 68 deixa de estar em ST em 01/10/2026.
VII;PNEUMATICOS_CAMARAS_PROTETORES;Portaria SRE 15/2024;2;16.002.00;4011;Pneus novos para caminhões, ônibus, aviões, máquinas e tratores;;IVA_ST;35.85;True;2024-05-01;2026-09-30;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-15-de-2024.aspx;Anexo VII da CAT 68 deixa de estar em ST em 01/10/2026.
VII;PNEUMATICOS_CAMARAS_PROTETORES;Portaria SRE 15/2024;3;16.003.00;4011.40.00;Pneus novos para motocicletas;;IVA_ST;77.12;True;2024-05-01;2026-09-30;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-15-de-2024.aspx;Anexo VII da CAT 68 deixa de estar em ST em 01/10/2026.
VII;PNEUMATICOS_CAMARAS_PROTETORES;Portaria SRE 15/2024;4;16.004.00;4011;Outros pneus novos, exceto CEST 16.005.00;;IVA_ST;54.45;True;2024-05-01;2026-09-30;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-15-de-2024.aspx;Anexo VII da CAT 68 deixa de estar em ST em 01/10/2026.
VII;PNEUMATICOS_CAMARAS_PROTETORES;Portaria SRE 15/2024;5;16.005.00;4011.50.00;Pneus novos para bicicletas;;IVA_ST;99.12;True;2024-05-01;2026-09-30;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-15-de-2024.aspx;Anexo VII da CAT 68 deixa de estar em ST em 01/10/2026.
VII;PNEUMATICOS_CAMARAS_PROTETORES;Portaria SRE 15/2024;6;16.007.00;4012.90;Protetores de borracha, exceto CEST 16.007.01;;IVA_ST;102.11;True;2024-05-01;2026-09-30;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-15-de-2024.aspx;Anexo VII da CAT 68 deixa de estar em ST em 01/10/2026.
VII;PNEUMATICOS_CAMARAS_PROTETORES;Portaria SRE 15/2024;7;16.008.00;4013;Câmaras de ar de borracha, exceto CEST 16.009.00;;IVA_ST;117.13;True;2024-05-01;2026-09-30;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-15-de-2024.aspx;Anexo VII da CAT 68 deixa de estar em ST em 01/10/2026.
VII;PNEUMATICOS_CAMARAS_PROTETORES;Portaria SRE 15/2024;8;16.009.00;4013.20.00;Câmaras de ar para bicicletas;;IVA_ST;140.35;True;2024-05-01;2026-09-30;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-15-de-2024.aspx;Anexo VII da CAT 68 deixa de estar em ST em 01/10/2026.
VIII;TINTAS_VERNIZES_PRODUTOS_QUIMICOS;Portaria SRE 46/2024;1;24.001.00;"3208;3209;3210.00";Tintas e vernizes;;IVA_ST;52.0;True;2024-11-01;2026-09-30;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-46-de-2024.aspx;Anexo VIII da CAT 68 deixa de estar em ST em 01/10/2026.
VIII;TINTAS_VERNIZES_PRODUTOS_QUIMICOS;Portaria SRE 46/2024;2;24.002.00;"2821;3204.17.00;3206";Xadrez e pós assemelhados <=1kg, exceto pigmentos NCM 3206.11.10;;IVA_ST;114.0;True;2024-11-01;2026-09-30;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-46-de-2024.aspx;Anexo VIII da CAT 68 deixa de estar em ST em 01/10/2026.
VIII;TINTAS_VERNIZES_PRODUTOS_QUIMICOS;Portaria SRE 46/2024;3;24.003.00;"3204;3205.00.00;3206;3212";Corantes para aplicação em bases, tintas e vernizes;;IVA_ST;93.0;True;2024-11-01;2026-09-30;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-46-de-2024.aspx;Anexo VIII da CAT 68 deixa de estar em ST em 01/10/2026.
XIV;AUTOPECAS;Portaria SRE 16/2023;GERAL_FIDELIDADE;;;Autopeças, exceto baterias dos itens 53/54;"Fabricante de veículos para índice de fidelidade; fabricante com distribuição exclusiva por contrato; ou atacadista controlado que opere exclusivamente com concessionários da rede.";IVA_ST;47.19;True;2023-04-01;2026-09-30;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-16-de-2023.aspx;
XIV;AUTOPECAS;Portaria SRE 16/2023;GERAL_DEMAIS;;;Autopeças, exceto baterias dos itens 53/54;Demais casos.;IVA_ST;72.15;True;2023-04-01;2026-09-30;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-16-de-2023.aspx;
XIV;AUTOPECAS_BATERIAS;Portaria SRE 10/2026;53_54_FIDELIDADE;;;Acumuladores elétricos de chumbo para arranque de motores de pistão;"Hipóteses de fabricante/atacadista com fidelidade descritas no §1º, item 1, da SRE 10/2026; quando não aplicado PMPF.";PMPF_COM_IVA_FALLBACK;47.19;True;2026-05-01;2026-09-30;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-10-de-2026.aspx;
XIV;AUTOPECAS_BATERIAS;Portaria SRE 10/2026;53_DEMAIS;01.053.00;8507.10;Baterias para arranque de motores, exceto a hipótese do CEST 01.053.01;Demais casos, quando não aplicado PMPF.;PMPF_COM_IVA_FALLBACK;209.34;True;2026-05-01;2026-09-30;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-10-de-2026.aspx;
XIV;AUTOPECAS_BATERIAS;Portaria SRE 10/2026;54_DEMAIS;01.053.01;8507.10.10;Baterias <=20Ah e <=12V para arranque de motores;Demais casos, quando não aplicado PMPF.;PMPF_COM_IVA_FALLBACK;222.83;True;2026-05-01;2026-09-30;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-10-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;1;17.001.00;1704.90.10;Chocolate branco <=1kg;;IVA_ST;72.41;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;1.1;17.001.01;1704.90.10;Chocolate branco >1kg e <=2kg;;IVA_ST;71.01;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;2;17.002.00;1806.31.10;Chocolate recheado <=1kg;;IVA_ST;88.15;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;2.1;17.002.01;1806.31.10;Chocolate recheado >1kg e <=2kg;;IVA_ST;102.4;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;3;17.003.00;1806.32.10;Chocolate não recheado <=2kg;;IVA_ST;74.8;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;4;17.004.00;1806.90.00;Outras preparações com cacau <=1kg;;IVA_ST;64.95;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;4.1;17.004.01;1806.90.00;Outras preparações com cacau >1kg e <=2kg;;IVA_ST;91.11;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;5;17.006.00;1806.90.00;Achocolatado em pó <=1kg;;IVA_ST;43.85;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;6;17.006.02;1806.90.00;Achocolatado em pó em cápsulas;;IVA_ST;41.95;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;7;17.007.00;1806.90.00;Caixas de bombons contendo cacau <=1kg;;IVA_ST;54.59;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;8;17.008.00;1704.90.90;Bombons, inclusive chocolate branco sem cacau;;IVA_ST;169.12;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;9;17.009.00;1806.90.00;Confeitaria contendo cacau;;IVA_ST;89.79;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;10;17.012.00;"0402.1;0402.2;0402.9";Leite em pó/blocos/grânulos, exceto creme;;IVA_ST;34.1;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;11;17.013.00;1901.10.20;Farinha láctea;;IVA_ST;39.69;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;12;17.014.00;1901.10.10;Leite modificado para alimentação de crianças;;IVA_ST;43.07;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;13;17.015.00;"1901.10.90;1901.10.30";Preparações para alimentação infantil;;IVA_ST;45.95;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;14;17.016.00;"0401.10.10;0401.20.10";Leite UHT <=2L;;IVA_ST;23.06;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;15;17.019.00;"0401.40.2;0402.21.30;0402.29.30;0402.9";Creme de leite <=1kg;;IVA_ST;52.04;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;16;17.019.02;"0401.10;0401.20;0401.50;0402.10;0402.29.20";Outros cremes de leite <=1kg;;IVA_ST;52.51;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;17;17.020.00;0402.9;Leite condensado <=1kg;;IVA_ST;41.82;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;18;17.021.00;0403;Iogurte e leite fermentado <=2L;;IVA_ST;70.1;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;19;17.023.00;0406;Requeijão e similares <=1kg;;IVA_ST;71.11;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;20;17.025.00;0405.10.00;Manteiga <=1kg;;IVA_ST;45.69;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;21;17.026.00;1517.10.00;Margarina/creme vegetal <=500g;;IVA_ST;48.6;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;22;17.027.00;1517.10.00;Margarina/creme vegetal >500g e <=1kg;;IVA_ST;40.55;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;23;17.027.02;1517.90;Outras margarinas/cremes vegetais <1kg;;IVA_ST;40.55;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
XVI;PRODUTOS_INDUSTRIA_ALIMENTICIA;Portaria SRE 12/2026;24;17.034.00;2103.20.10;Catchup <=650g;;IVA_ST;66.34;True;2026-05-01;2029-01-31;ATIVO_NA_DATA_REFERENCIA;https://legislacao.fazenda.sp.gov.br/Paginas/Portaria-SRE-12-de-2026.aspx;
